TimeStamp,Millis,systemTime,Loadcell
2025-06-24T10:13:42.3482752-04:00,36822348.275200002,2598.768352,2543.6100000000001
2025-06-24T10:13:42.3596160-04:00,36822359.616000004,2598.768352,2503.1599999999999
2025-06-24T10:13:42.3714048-04:00,36822371.404800005,2598.7963519999998,2469.8499999999999
2025-06-24T10:13:42.3836672-04:00,36822383.667199999,2598.808352,2427.8899999999999
2025-06-24T10:13:42.3959424-04:00,36822395.942400001,2598.8203520000002,2386.4699999999998
2025-06-24T10:13:42.4081792-04:00,36822408.179200001,2598.8323519999999,2353.6799999999998
2025-06-24T10:13:42.4205568-04:00,36822420.5568,2598.8463360000001,2351.0500000000002
2025-06-24T10:13:42.4394496-04:00,36822439.449600004,2598.8643520000001,2356.0100000000002
2025-06-24T10:13:42.4464896-04:00,36822446.489600003,2598.8723519999999,2316.0900000000001
2025-06-24T10:13:42.4573312-04:00,36822457.331200004,2598.8823360000001,2248.1199999999999
2025-06-24T10:13:42.4713344-04:00,36822471.334399998,2598.8963520000002,2213.8299999999999
2025-06-24T10:13:42.4781696-04:00,36822478.169600002,2598.9023360000001,2231.2800000000002
2025-06-24T10:13:42.4904960-04:00,36822490.495999999,2598.9163520000002,2285.2600000000002
2025-06-24T10:13:42.5028352-04:00,36822502.835200004,2598.9283519999999,2345.04
2025-06-24T10:13:42.5186944-04:00,36822518.694400005,2598.944352,2422.6300000000001
2025-06-24T10:13:42.5271936-04:00,36822527.193599999,2598.9523519999998,2588.1199999999999
2025-06-24T10:13:42.5393792-04:00,36822539.379200004,2598.964352,2840.9000000000001
2025-06-24T10:13:42.5516544-04:00,36822551.654399998,2598.9763520000001,3055.9400000000001
2025-06-24T10:13:42.5639424-04:00,36822563.942400001,2598.9883519999998,3130.9000000000001
2025-06-24T10:13:42.5761920-04:00,36822576.192000002,2599.000352,3049.0999999999999
2025-06-24T10:13:42.5884288-04:00,36822588.428800002,2599.0143360000002,2818.9499999999998
2025-06-24T10:13:42.6007168-04:00,36822600.716800004,2599.0263359999999,2540.75
2025-06-24T10:13:42.6129152-04:00,36822612.915200002,2599.0383360000001,2311.9499999999998
2025-06-24T10:13:42.6251904-04:00,36822625.190400004,2599.0503359999998,2086.6199999999999
2025-06-24T10:13:42.6375040-04:00,36822637.504000001,2599.062336,1876.3900000000001
2025-06-24T10:13:42.6497664-04:00,36822649.766400002,2599.0743360000001,1738.05
2025-06-24T10:13:42.6583040-04:00,36822658.304000005,2599.0823359999999,1649.9200000000001
2025-06-24T10:13:42.6705664-04:00,36822670.566399999,2599.096352,1612.1099999999999
2025-06-24T10:13:42.6829568-04:00,36822682.956799999,2599.1083520000002,1623.3099999999999
2025-06-24T10:13:42.6951808-04:00,36822695.180799998,2599.1203519999999,1641.05
2025-06-24T10:13:42.7074176-04:00,36822707.417599998,2599.1323520000001,1656.24
2025-06-24T10:13:42.7196544-04:00,36822719.654399998,2599.1443519999998,1698.4200000000001
2025-06-24T10:13:42.7322368-04:00,36822732.2368,2599.156352,1770.9000000000001
2025-06-24T10:13:42.7441280-04:00,36822744.127999999,2599.1683520000001,1855.4100000000001
2025-06-24T10:13:42.7563904-04:00,36822756.3904,2599.1803519999999,1948.72
2025-06-24T10:13:42.7687808-04:00,36822768.7808,2599.194336,2020.75
2025-06-24T10:13:42.7809792-04:00,36822780.979199998,2599.2063360000002,2050.9000000000001
2025-06-24T10:13:42.7932160-04:00,36822793.215999998,2599.2183359999999,2065.4899999999998
2025-06-24T10:13:42.8055424-04:00,36822805.542400002,2599.2303360000001,2064.5900000000001
2025-06-24T10:13:42.8177792-04:00,36822817.779200003,2599.2423359999998,2042.3299999999999
2025-06-24T10:13:42.8299648-04:00,36822829.9648,2599.254336,2034.5899999999999
2025-06-24T10:13:42.8422272-04:00,36822842.227200001,2599.2663360000001,2033.0799999999999
2025-06-24T10:13:42.8546432-04:00,36822854.643200003,2599.2803520000002,2018.5
2025-06-24T10:13:42.8630144-04:00,36822863.014400005,2599.288352,2021.6500000000001
2025-06-24T10:13:42.8753664-04:00,36822875.366400003,2599.3003520000002,2050.75
2025-06-24T10:13:42.8877568-04:00,36822887.756800003,2599.3123519999999,2098.7199999999998
2025-06-24T10:13:42.9000704-04:00,36822900.0704,2599.3243520000001,2146.1700000000001
2025-06-24T10:13:42.9120896-04:00,36822912.089600004,2599.3363519999998,2167.8200000000002
2025-06-24T10:13:42.9245696-04:00,36822924.569600001,2599.350336,2169.3200000000002
2025-06-24T10:13:42.9367296-04:00,36822936.729600005,2599.3623360000001,2177.4400000000001
2025-06-24T10:13:42.9491072-04:00,36822949.107200004,2599.3743359999999,2197.8899999999999
2025-06-24T10:13:42.9612928-04:00,36822961.292800002,2599.386336,2202.5599999999999
2025-06-24T10:13:42.9734528-04:00,36822973.452799998,2599.3983360000002,2188.1999999999998
2025-06-24T10:13:42.9857280-04:00,36822985.728,2599.4103359999999,2169.1700000000001
2025-06-24T10:13:42.9981568-04:00,36822998.156800002,2599.4223360000001,2167.5900000000001
2025-06-24T10:13:43.0102912-04:00,36823010.291200005,2599.4343359999998,2201.2800000000002
2025-06-24T10:13:43.0225536-04:00,36823022.553599998,2599.4483519999999,2270.98
2025-06-24T10:13:43.0348416-04:00,36823034.841600001,2599.4603520000001,2297.8200000000002
2025-06-24T10:13:43.0433024-04:00,36823043.3024,2599.4683519999999,2314.6599999999999
2025-06-24T10:13:43.0555136-04:00,36823055.513599999,2599.480352,2336.9899999999998
2025-06-24T10:13:43.0677888-04:00,36823067.788800001,2599.4923520000002,2349.6999999999998
