FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1
0,2598.75856,7,36822344.0896,0.00392156862745098,0.00439245865842942
1,2598.771008,2,36822360.1792,0.0215060492282019,0.0390976309038781
2,2598.78352,1,36822369.0368,0.0586757382898836,0.0748231388526438
3,2598.796032,2,36822381.4784,0.0232684472612042,0.0404166555712371
4,2598.808512,1,36822394.0352,0.0586233678623102,0.0743930800024854
5,2598.821024,2,36822406.5664,0.0231326392032594,0.0396235542655269
6,2598.833536,1,36822419.072,0.0585053124916784,0.0738627184690082
7,2598.846016,2,36822431.9232,0.0229417978146442,0.0389311994603183
8,2598.858528,1,36822444.032,0.0583513079292378,0.0735733496658057
9,2598.871008,2,36822456.576,0.0227806921772783,0.0383533494882788
10,2598.88352,1,36822471.2832,0.0582962745985674,0.0732094195758883
11,2598.896032,2,36822481.7536,0.022641333581871,0.0377790500537019
12,2598.908512,1,36822494.144,0.0582230447634011,0.0729613257706885
13,2598.921024,2,36822506.6496,0.0225064131582918,0.0374093503404078
14,2598.933536,1,36822519.1936,0.0580659334806806,0.0727735911023531
15,2598.946016,2,36822531.5584,0.0224993120833666,0.0370525213254156
16,2598.958528,1,36822544.0128,0.0580348662778828,0.0726222494430094
17,2598.97104,2,36822556.608,0.0224429473011477,0.0366735014512822
18,2598.98352,1,36822569.1136,0.0580051305266335,0.0723870263361116
19,2598.996032,2,36822581.6704,0.0223981217656823,0.0363925651745533
20,2599.008544,1,36822594.1376,0.0578826369841735,0.0723244481133331
21,2599.021024,2,36822606.6048,0.0223191223071392,0.0361671060456777
22,2599.033536,1,36822619.0848,0.0579105974666915,0.0721478088745684
23,2599.046016,2,36822631.8336,0.0222015107536903,0.035974933205514
24,2599.058528,1,36822644.0576,0.0577428345715833,0.0719862594200197
25,2599.07104,2,36822656.6016,0.0221447021542886,0.0358280297179986
26,2599.08352,1,36822669.1584,0.0577583681729822,0.0720155513540862
27,2599.096032,2,36822681.664,0.0220590454380032,0.0357308337549597
28,2599.108544,1,36822694.2208,0.0577246380670874,0.0719622932921471
29,2599.121024,2,36822706.8288,0.0220257591492912,0.0355537506990121
30,2599.133536,1,36822719.36,0.0576687171020513,0.0718371368465902
31,2599.146016,2,36822731.8016,0.0219423215189199,0.0354858466700397
32,2599.158528,1,36822744.384,0.0576190095775748,0.0717878731392965
33,2599.17104,2,36822756.5696,0.0218770803930445,0.0353704542025049
34,2599.18352,1,36822769.088,0.0576238915665859,0.0717656822801552
35,2599.196032,2,36822781.7216,0.0218952768975404,0.0352568370037014
36,2599.208544,1,36822794.0992,0.0575670829671842,0.0716494021782547
37,2599.221024,2,36822806.6304,0.0219933604949449,0.0350424733043965
38,2599.233536,1,36822819.0848,0.0574796509821674,0.0714683247676617
39,2599.246016,2,36822831.5904,0.0220115569994408,0.0349408391695293
40,2599.258528,1,36822844.096,0.057445033241907,0.07151359412031
41,2599.27104,2,36822856.5888,0.0219769392591804,0.034806362563133
42,2599.28352,1,36822869.1584,0.0574250614686798,0.0713973140184095
43,2599.296032,2,36822881.7152,0.0219298946378008,0.0346523580006924
44,2599.308544,1,36822894.2848,0.0574263929202283,0.0714172857916367
45,2599.321024,2,36822906.5984,0.0218801871133243,0.0344526402684206
46,2599.333536,1,36822919.104,0.0573917751799679,0.0713702411702571
47,2599.346016,2,36822931.6352,0.0218326986747619,0.0343443488758111
48,2599.358528,1,36822944.2176,0.0573331913118348,0.0712433094559689
49,2599.371008,2,36822956.8,0.0217723395378975,0.0342981918887972
50,2599.38352,1,36822969.1776,0.0573309722259207,0.0712628374120133
51,2599.396032,2,36822981.632,0.0217239634649695,0.0342236306020824
52,2599.408512,1,36822994.2144,0.0573473934616853,0.0711807312331904
